"modelName","ICspecTRUE","bestAIC","bestBIC","winning_model"
"PFAnons","diffuse",297,297,"deJong"
"PFAnons","diffuse",202,202,"EKF"
"PFAnons","diffuse",1,1,"largeK"
"PFAnons","diffuse",1,1,"Null"
"PFAnons","FreeParm",301,301,"deJong"
"PFAnons","FreeParm",202,202,"EKF"
"PFAnons","FreeParm",1,1,"largeK"
"PFAnons","Null",288,288,"deJong"
"PFAnons","Null",211,211,"EKF"
"PFAnons","Null",1,1,"Null"
"PFAstat","FreeParm",463,463,"deJong"
"PFAstat","FreeParm",447,447,"EKF"
"PFAstat","ModelImplied",454,454,"deJong"
"PFAstat","ModelImplied",458,458,"EKF"
"PFAstat","Null",457,457,"deJong"
"PFAstat","Null",445,445,"EKF"
